Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,86071,1937,12.8,14.0,13.1,9.9,8.4,3.3,4.7,7.3,9.1,10.3,12.6,13.1,9.9
IDCJAC0004,86071,1938,14.0,13.9,13.4,11.5,8.4,6.6,4.9,5.6,6.8,9.0,11.3,11.9,9.8
IDCJAC0004,86071,1939,14.6,14.5,13.4,11.8,9.5,6.9,4.1,7.1,7.9,8.7,10.6,10.7,10.0
IDCJAC0004,86071,1940,13.2,11.9,13.1,9.0,7.0,6.4,7.2,5.2,7.4,9.4,10.4,12.8,9.4
IDCJAC0004,86071,1941,13.9,13.5,12.2,11.2,8.0,7.3,6.4,6.6,7.6,8.1,11.1,12.4,9.9
IDCJAC0004,86071,1942,13.4,14.2,12.8,10.1,10.3,7.0,5.3,7.5,8.0,9.0,11.5,13.7,10.2
IDCJAC0004,86071,1943,14.0,13.2,12.0,8.7,6.5,5.5,6.2,4.0,6.9,8.9,10.4,12.2,9.0
IDCJAC0004,86071,1944,13.5,13.2,12.7,9.1,8.6,6.1,5.0,4.2,7.4,8.6,10.9,12.2,9.3
IDCJAC0004,86071,1945,13.3,13.1,10.1,9.3,7.9,6.4,4.7,7.6,6.6,9.4,11.4,13.1,9.4
IDCJAC0004,86071,1946,14.2,13.4,12.5,9.6,8.0,5.9,7.3,6.4,7.1,7.8,10.4,12.4,9.6
IDCJAC0004,86071,1947,13.1,16.3,13.6,10.9,9.0,6.6,7.1,5.8,7.3,9.0,10.0,12.8,10.1
IDCJAC0004,86071,1948,12.9,15.1,10.4,10.8,8.4,5.5,5.0,6.6,7.5,8.1,9.7,12.2,9.3
IDCJAC0004,86071,1949,13.8,12.2,13.0,8.9,7.3,5.3,6.2,5.3,6.1,9.5,11.1,11.2,9.2
IDCJAC0004,86071,1950,12.1,14.5,13.0,10.1,8.0,5.1,5.6,6.3,7.8,10.1,11.2,13.4,9.8
IDCJAC0004,86071,1951,15.6,15.7,13.7,9.4,8.3,7.5,6.5,5.9,8.0,9.2,9.7,11.9,10.1
IDCJAC0004,86071,1952,12.7,13.1,13.8,10.0,7.6,8.0,4.9,5.9,7.9,9.3,10.4,12.6,9.7
IDCJAC0004,86071,1953,13.9,14.6,12.7,11.1,9.1,7.2,6.4,6.6,7.1,8.5,10.0,11.8,9.9
IDCJAC0004,86071,1954,15.3,13.5,11.4,10.9,8.5,7.8,5.7,6.7,7.1,9.5,10.5,13.3,10.0
IDCJAC0004,86071,1955,14.6,15.6,13.1,10.1,7.6,6.2,6.1,7.5,7.9,9.6,9.5,12.6,10.0
IDCJAC0004,86071,1956,13.6,16.5,15.6,11.5,8.8,6.7,6.5,5.4,7.4,8.7,9.7,11.1,10.1
IDCJAC0004,86071,1957,11.8,13.7,11.8,10.1,8.0,9.4,5.3,5.8,6.9,9.1,10.1,12.4,9.5
IDCJAC0004,86071,1958,13.0,14.3,12.9,9.6,10.0,6.1,6.0,7.2,6.6,8.8,12.1,12.1,9.9
IDCJAC0004,86071,1959,15.8,15.0,13.7,10.7,7.3,6.7,6.1,6.9,7.1,9.0,12.9,12.8,10.3
IDCJAC0004,86071,1960,16.1,13.7,13.7,10.6,8.0,5.8,6.0,5.2,8.0,9.7,9.2,14.2,10.0
IDCJAC0004,86071,1961,16.6,15.7,13.4,11.9,7.9,8.1,6.7,6.9,7.9,11.0,12.1,14.0,11.0
IDCJAC0004,86071,1962,15.5,14.0,14.0,10.9,8.2,8.3,6.2,6.5,8.3,8.8,10.4,13.5,10.4
IDCJAC0004,86071,1963,15.4,14.2,13.5,9.3,9.6,6.8,5.6,6.4,8.7,12.2,11.0,13.7,10.5
IDCJAC0004,86071,1964,13.6,13.9,12.0,11.8,8.5,8.1,7.1,7.8,8.1,9.3,11.7,11.6,10.3
IDCJAC0004,86071,1965,12.8,14.8,12.7,9.6,9.1,6.7,5.6,7.6,9.3,11.1,11.0,15.4,10.5
IDCJAC0004,86071,1966,15.5,14.7,14.0,10.2,9.5,5.8,6.2,6.3,8.8,10.2,12.1,13.3,10.6
IDCJAC0004,86071,1967,13.9,16.6,13.1,11.6,8.7,7.0,6.3,6.3,7.9,10.2,11.7,12.5,10.5
IDCJAC0004,86071,1968,15.4,17.7,15.5,13.8,9.3,7.2,6.5,6.9,7.7,9.6,11.0,13.3,11.2
IDCJAC0004,86071,1969,15.4,17.3,14.5,11.9,8.5,5.4,6.5,8.2,7.7,10.4,12.1,12.2,10.8
IDCJAC0004,86071,1970,14.7,14.8,13.7,12.4,8.6,8.3,7.0,6.8,7.1,9.5,11.8,13.7,10.7
IDCJAC0004,86071,1971,15.8,17.2,15.3,12.5,9.0,7.7,5.8,6.6,8.1,9.5,11.0,13.6,11.0
IDCJAC0004,86071,1972,15.5,16.3,13.0,11.0,8.7,4.9,6.8,7.7,9.3,10.1,11.6,14.5,10.8
IDCJAC0004,86071,1973,16.3,16.4,12.8,12.6,9.5,6.5,5.3,7.2,9.3,11.2,12.1,14.6,11.2
IDCJAC0004,86071,1974,17.1,16.2,16.8,12.8,10.4,7.4,7.6,7.2,8.4,10.1,10.9,12.3,11.4
IDCJAC0004,86071,1975,13.3,15.7,13.2,11.2,10.8,6.8,8.4,7.6,9.3,11.3,13.3,15.3,11.4
IDCJAC0004,86071,1976,15.3,16.8,14.6,12.2,9.4,7.7,6.4,6.9,8.3,9.5,11.9,13.6,11.1
IDCJAC0004,86071,1977,15.0,15.4,13.8,11.2,9.5,7.6,5.1,8.5,7.6,11.0,11.5,13.1,10.8
IDCJAC0004,86071,1978,14.6,14.1,14.8,10.9,10.9,7.8,6.7,6.7,9.1,10.5,12.7,13.2,11.0
IDCJAC0004,86071,1979,16.7,16.7,14.5,10.8,8.7,8.5,6.4,7.4,9.2,10.5,12.8,13.6,11.3
IDCJAC0004,86071,1980,13.7,14.2,12.9,12.7,10.1,8.0,7.3,8.2,10.3,10.7,12.4,15.0,11.3
IDCJAC0004,86071,1981,17.7,17.7,13.5,12.4,9.5,7.3,7.6,7.2,10.1,10.1,11.9,13.7,11.6
IDCJAC0004,86071,1982,16.6,15.9,14.9,11.5,9.6,5.6,4.6,7.9,7.3,9.5,12.5,13.8,10.8
IDCJAC0004,86071,1983,13.2,16.8,15.8,10.6,10.1,6.6,6.9,8.7,9.2,10.3,12.0,14.4,11.2
IDCJAC0004,86071,1984,14.3,14.8,12.9,10.8,8.1,7.7,5.9,8.7,8.3,10.4,12.7,12.6,10.6
IDCJAC0004,86071,1985,14.2,14.0,15.9,13.0,9.4,7.1,6.1,7.6,8.8,10.5,13.1,14.1,11.2
IDCJAC0004,86071,1986,13.8,14.2,14.7,11.7,10.3,7.5,7.0,7.4,8.9,9.7,11.8,12.9,10.8
IDCJAC0004,86071,1987,13.2,13.9,12.6,12.3,9.8,8.3,6.0,8.0,9.8,10.2,13.2,13.3,10.9
IDCJAC0004,86071,1988,16.5,14.5,14.8,12.9,11.6,8.3,8.2,8.6,9.9,10.9,12.3,15.3,12.0
IDCJAC0004,86071,1989,15.2,16.4,15.8,12.6,10.7,6.6,6.3,6.8,8.5,9.9,12.9,14.0,11.3
